Batch,Instrument,QC Name,Date QC,Analyte,Result
ENBS_250506_BATCH,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_BATCH,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.42
ENBS_250506_BATCH,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.1
ENBS_250506_BATCH,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_BATCH,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.42
ENBS_250506_BATCH,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.19
ENBS_250506_BATCH,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.2
ENBS_250506_BATCH,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.45
ENBS_250506_BATCH,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.25
ENBS_250506_BATCH,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.19
ENBS_250506_BATCH,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.44
ENBS_250506_BATCH,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.23
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.43
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.3
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.42
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.26
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.48
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.45
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS1,2025-05-06,C8,0.18
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS2,2025-05-06,C8,0.47
ENBS_250506_PLAT3,SCIEX-Wallace,ENBS3,2025-05-06,C8,2.23
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.19
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.45
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.27
ENBS_250507_BATCH,SCIEX-Gromit,ENBS1,2025-05-07,C8,0.18
ENBS_250507_BATCH,SCIEX-Gromit,ENBS2,2025-05-07,C8,0.46
ENBS_250507_BATCH,SCIEX-Gromit,ENBS3,2025-05-07,C8,2.48
